,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
0,536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,2.55,17850.0,United Kingdom
1,536365,71053,WHITE METAL LANTERN,10,2010-12-01 08:26:00,3.39,17850.0,United Kingdom
49,536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-01 09:02:00,2.55,17850.0,United Kingdom
50,536373,71053,WHITE METAL LANTERN,7,2010-12-01 09:02:00,3.39,17850.0,United Kingdom
66,536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-12-01 09:32:00,2.55,17850.0,United Kingdom
67,536375,71053,WHITE METAL LANTERN,1,2010-12-01 09:32:00,3.39,17850.0,United Kingdom
220,536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,63,2010-12-01 10:19:00,2.55,17511.0,United Kingdom
262,536394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,35,2010-12-01 10:39:00,2.55,13408.0,United Kingdom
278,536396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-01 10:51:00,2.55,17850.0,United Kingdom
279,536396,71053,WHITE METAL LANTERN,9,2010-12-01 10:51:00,3.39,17850.0,United Kingdom
364,536401,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 11:21:00,2.95,15862.0,United Kingdom
416,536406,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-12-01 11:33:00,2.55,17850.0,United Kingdom
417,536406,71053,WHITE METAL LANTERN,4,2010-12-01 11:33:00,3.39,17850.0,United Kingdom
935,536502,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-01 12:36:00,2.95,16552.0,United Kingdom
979,536520,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-01 12:43:00,2.95,14729.0,United Kingdom
1440,536542,85123A,WHITE HANGING HEART T-LIGHT HOLDER,35,2010-12-01 14:11:00,2.95,16456.0,United Kingdom
1733,536544,71053,WHITE METAL LANTERN,2,2010-12-01 14:32:00,8.47,,United Kingdom
1779,536544,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-01 14:32:00,5.91,,United Kingdom
2306,536575,85123A,WHITE HANGING HEART T-LIGHT HOLDER,130,2010-12-01 16:01:00,2.55,13777.0,United Kingdom
2318,536576,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2010-12-01 16:11:00,2.55,13777.0,United Kingdom
2408,536590,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-01 16:52:00,2.95,13065.0,United Kingdom
2998,536592,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-01 17:06:00,5.91,,United Kingdom
3062,536594,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-01 17:22:00,2.95,15235.0,United Kingdom
3118,536600,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-02 08:32:00,2.55,17850.0,United Kingdom
3119,536600,71053,WHITE METAL LANTERN,10,2010-12-02 08:32:00,3.39,17850.0,United Kingdom
3142,536602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-02 08:34:00,2.55,17850.0,United Kingdom
